common_name,phylum,subphylum,class,order,family,phyclassorder,taxon,taxon_code,notes,ffg,ffg_shd,ffg_grz,ffg_col,ffg_prd,feed_omn,feed_ply,habitat_dfd,habitat_rhp
leech,Annelida,NA,Clitellata,Hirudinea,Glossiphoniidae,Annelida,Hirudinea,,,Predator,,,,3,,,1,
earthworms,Annelida,NA,Clitellata,Oligochaeta,NA,Annelida,Oligochaeta,,,Collector,,,3,,,,3,
water mite,Arthropoda,NA,Arachnida,Trombidiformes,Hydrachnidia,Arachnida,Hydracarina,,,Predator,,,,3,,,,2
long-toed water beetles,Arthropoda,NA,Insecta,Coleoptera,Dryopidae,Coleoptera,Dryopidae,,,Grazer,,3,1,,,1,2,
predaceous diving beetles,Arthropoda,NA,Insecta,Coleoptera,Dytiscidae,Coleoptera,Dytiscidae,,,Predator,,,,3,,,,
riffle beetle adult,Arthropoda,NA,Insecta,Coleoptera,Elmidae,Coleoptera,Elmidae-adult,,,Collector,,2,2,,,1,,3
riffle beetle,Arthropoda,NA,Insecta,Coleoptera,Elmidae,Coleoptera,Elmidae-larvae,,,Collector,,2,2,,,1,,3
whirligig beetle,Arthropoda,NA,Insecta,Coleoptera,Gyrinidae,Coleoptera,Gyrinidae,,,Predator,,,,3,,,,
water scavenger beetle,Arthropoda,NA,Insecta,Coleoptera,Hydrophilidae,Coleoptera,Hydrophilidae,,Berosus-adult,Predator,,,1,2,1,,3,
water snipe flies,Arthropoda,NA,Insecta,Diptera,Athericidae,Diptera,Athericidae,,,Predator,,,,3,,,,
no-see-ums,Arthropoda,NA,Insecta,Diptera,Ceratopogonidae,Diptera,Ceratopogonidae,,,Predator,,,,3,,,3,
non-biting midges,Arthropoda,NA,Insecta,Diptera,Chironomidae,Diptera,Chironomidae,,,Collector,,,3,,,,3,
dance flies,Arthropoda,NA,Insecta,Diptera,Empididae,Diptera,Empididae,,,Collector,,1,2,,,1,,
moth flies,Arthropoda,NA,Insecta,Diptera,Psychodidae,Diptera,Psychodidae,,,Collector,,,3,,,,3,
marsh flies,Arthropoda,NA,Insecta,Diptera,Seiomyzidae,Diptera,Seiomyzidae,,,Predator,,,,3,,,,
black fly,Arthropoda,NA,Insecta,Diptera,Simulidae,Diptera,Simulidae,,,Filterer,,,3,,,,,
crane flies,Arthropoda,NA,Insecta,Diptera,Tipulidae,Diptera,Tipulidae,,,Shredder,3,,1,,,1,,
combmouthed minnow mayfly,Arthropoda,NA,Insecta,Ephermeroptera,Ameletidae,Ephermeroptera,Ameletidae,,,Collector,,,2,,,,,
small minnow mayflies,Arthropoda,NA,Insecta,Ephermeroptera,Baetidae,Ephermeroptera,Baetidae,,,Grazer,,2,1,,,,,
armored mayflies,Arthropoda,NA,Insecta,Ephermeroptera,Baetiscidae,Ephermeroptera,Baetiscidae,,,Collector,,1,2,,,,,
small square-gill mayflies,Arthropoda,NA,Insecta,Ephermeroptera,Caenidae,Ephermeroptera,Caenidae,,,Collector,,1,2,,,,,
spiny crawler mayflies,Arthropoda,NA,Insecta,Ephermeroptera,Ephemerellidae,Ephermeroptera,Ephemerellidae,,,Grazer,,2,1,,,,,
common burrower mayflies,Arthropoda,NA,Insecta,Ephermeroptera,Ephemeridae,Ephermeroptera,Ephemeridae,,,Collector,,1,2,,,,,
flat headed mayflies,Arthropoda,NA,Insecta,Ephermeroptera,Heptaganeidae,Ephermeroptera,Heptaganeidae,,,Grazer,,2,1,,,,,
brushlegged mayflies,Arthropoda,NA,Insecta,Ephermeroptera,Isonychiidae,Ephermeroptera,Isonychiidae,,,Filterer,,1,2,,,,,
little stout crawler mayflies,Arthropoda,NA,Insecta,Ephermeroptera,Leptohyphidae,Ephermeroptera,Leptohyphidae,,,Collector,,1,2,,,,,
prong-gilled mayflies,Arthropoda,NA,Insecta,Ephermeroptera,Leptophlebiidae,Ephermeroptera,Leptophlebiidae,,,Collector,,2,1,,,1,2,
brushleg mayflies,Arthropoda,NA,Insecta,Ephermeroptera,Oligoneuriidae,Ephermeroptera,Oligoneuriidae,,,Filterer,,1,2,,,,,
pale burrower mayfly,Arthropoda,NA,Insecta,Ephermeroptera,Polymitaryidae,Ephermeroptera,Polymitaryidae,,,Collector,,1,2,,,,,
hackle-gilled mayflies,Arthropoda,NA,Insecta,Ephermeroptera,Potamanthidae,Ephermeroptera,Potamanthidae,,,Collector,,1,2,,,,,
primitive minnow mayflies,Arthropoda,NA,Insecta,Ephermeroptera,Siphlonuridae,Ephermeroptera,Siphlonuridae,,,Collector,,1,2,,,,,
giant water bug,Arthropoda,NA,Insecta,Hemiptera,Belostomatidae,Hemiptera,Belostomatidae,,,Predator,,,,3,,,,
water boatman,Arthropoda,NA,Insecta,Hemiptera,Corixidae,Hemiptera,Corixidae,,,Predator,,,,3,,,,
water strider,Arthropoda,NA,Insecta,Hemiptera,Gerridae,Hemiptera,Gerridae,,,Predator,,,,3,,,,
creeping water bugs,Arthropoda,NA,Insecta,Hemiptera,Naucoridae,Hemiptera,Naucoridae,,,Predator,,,,3,,,,
small water striders,Arthropoda,NA,Insecta,Hemiptera,Veliidae,Hemiptera,Veliidae,,,Predator,,,,3,,,,
alderflies,Arthropoda,NA,Insecta,Megaloptera,Sialidae,Megaloptera,Sialidae,,,Predator,,,,3,,,,
darners,Arthropoda,NA,Insecta,Odonata,Aeshnidae,Odonata,Aeshnidae,,,Predator,,,,3,,,1,3
broad-winged damselflies,Arthropoda,NA,Insecta,Odonata,Calopterygidae,Odonata,Calopterygidae,,,Predator,,,,3,,,1,3
narrow-winged damselflies,Arthropoda,NA,Insecta,Odonata,Coenagrionidae,Odonata,Coenagrionidae,,,Predator,,,,3,,,1,3
clubtails,Arthropoda,NA,Insecta,Odonata,Gomphidae,Odonata,Gomphidae,,,Predator,,,,3,,,1,3
